"subnum" "block" "trial" "direction" "stim" "offset" "fixationstart" "delaytime" "promptstart" "arrowstart" "maskstart" "rt" "corresp" "resp" "corr" "bivalentcorr"
"100-1-3" "P" 0 -1 "L" 2 24799 3500 28305 "28812" "28812" 669 "<left>" "<left>" 1 1
"100-1-3" "P" 0 1 "L" 1 29494 2750 32249 "32756" "32756" 629 "<left>" "<left>" 1 1
"100-1-3" "P" 0 -1 "U" 1 33400 1750 35154 "35661" "35661" 729 "<up>" "<up>" 1 1
"100-1-3" "P" 0 -1 "D" 1 36409 3000 39415 "39920" "39921" 702 "<down>" "<down>" 1 1
"100-1-3" "P" 0 -1 "D" 2 40642 1500 42147 "42655" "42655" 601 "<down>" "<down>" 1 1
"100-1-3" "P" 0 1 "L" 1 43274 2250 45530 "46036" "46037" 558 "<left>" "<left>" 1 1
"100-1-3" "P" 0 -1 "R" 1 50601 2250 52856 "53065" "53065" 679 "<right>" "<right>" 1 1
"100-1-3" "P" 0 1 "R" 2 53757 2000 55764 "55972" "55972" 614 "<right>" "<right>" 1 1
"100-1-3" "P" 0 1 "L" 1 56606 2000 58612 "58818" "58819" 545 "<left>" "<left>" 1 1
"100-1-3" "P" 0 1 "R" 2 59381 3500 62887 "63093" "63094" 800 "<right>" "<right>" 1 1
"100-1-3" "P" 0 -1 "L" 1 63904 2750 66660 "66869" "66869" 567 "<left>" "<left>" 1 1
"100-1-3" "P" 0 -1 "L" 2 67451 3250 70707 "70913" "70914" 817 "<left>" "<left>" 1 1
"100-1-3" "P" 0 1 "L" 1 71743 3250 74998 "75204" "75204" 658 "<left>" "<left>" 1 1
"100-1-3" "P" 0 1 "R" 2 75873 2500 78379 "78585" "78586" 661 "<right>" "<right>" 1 1
"100-1-3" "T" 1 -1 "R" 1 82677 2500 85183 "85390" "85390" 610 "<right>" "<right>" 1 1
"100-1-3" "T" 2 -1 "D" 1 86012 3250 89267 "89474" "89474" 604 "<down>" "<down>" 1 1
"100-1-3" "T" 3 -1 "L" 1 90090 1500 91596 "91802" "91803" 706 "<left>" "<left>" 1 1
"100-1-3" "T" 4 -1 "U" 1 92521 1750 94277 "94483" "94484" 620 "<up>" "<up>" 1 1
"100-1-3" "T" 5 1 "R" 1 95114 1500 96618 "96826" "96826" 624 "<right>" "<right>" 1 1
"100-1-3" "T" 6 -1 "U" 1 97465 2750 100221 "100427" "100428" 612 "<up>" "<up>" 1 1
"100-1-3" "T" 7 -1 "L" 2 101058 3500 104563 "104770" "104770" 674 "<left>" "<left>" 1 1
"100-1-3" "T" 8 1 "U" 1 105456 1500 106961 "107168" "107168" 707 "<up>" "<up>" 1 1
"100-1-3" "T" 9 1 "U" 1 107890 3250 111148 "111356" "111356" 666 "<up>" "<up>" 1 1
